file_kind,category,value,count
GAF,Date,20080530,68
GAF,Date,20080612,68
GAF,Date,20081119,68
GAF,Date,20101213,68
GAF,Date,20110322,68
GAF,Date,20111215,68
GAF,Date,20130329,68
GAF,Date,20130507,68
GAF,Date,20130521,68
GAF,Date,20130814,68
GAF,Date,20140702,68
GAF,Date,20140902,68
GAF,Date,20150115,68
GAF,Date,20150304,68
GAF,Date,20160422,68
GAF,Date,20061115,67
GAF,Date,20070321,67
GAF,Date,20081107,67
GAF,Date,20090107,67
GAF,Date,20090219,67
GAF,Date,20090306,67
GAF,Date,20090430,67
GAF,Date,20091116,67
GAF,Date,20100806,67
GAF,Date,20110503,67
GAF,Date,20111010,67
GAF,Date,20111017,67
GAF,Date,20111221,67
GAF,Date,20120229,67
GAF,Date,20120404,67
GAF,Date,20121119,67
GAF,Date,20121219,67
GAF,Date,20130308,67
GAF,Date,20130618,67
GAF,Date,20131202,67
GAF,Date,20131212,67
GAF,Date,20140321,67
GAF,Date,20140507,67
GAF,Date,20140805,67
GAF,Date,20140918,67
GAF,Date,20150518,67
GAF,Date,20150707,67
GAF,Date,20151028,67
GAF,Date,20060301,66
GAF,Date,20070807,66
GAF,Date,20080521,66
GAF,Date,20080718,66
GAF,Date,20090630,66
GAF,Date,20110711,66
GAF,Date,20111110,66
GAF,Date,20120402,66
GAF,Date,20120409,66
GAF,Date,20120620,66
GAF,Date,20130606,66
GAF,Date,20130705,66
GAF,Date,20140618,66
GAF,Date,20150109,66
GAF,Date,20150307,66
GAF,Date,20150512,66
GAF,Date,20060124,65
GAF,Date,20061205,65
GAF,Date,20091118,65
GAF,Date,20091207,65
GAF,Date,20100325,65
GAF,Date,20100624,65
GAF,Date,20100729,65
GAF,Date,20101006,65
GAF,Date,20110321,65
GAF,Date,20110520,65
GAF,Date,20110614,65
GAF,Date,20120106,65
GAF,Date,20120203,65
GAF,Date,20120217,65
GAF,Date,20140115,65
GAF,Date,20140226,65
GAF,Date,20160405,65
GAF,Date,20060308,64
GAF,Date,20090519,64
GAF,Date,20091120,64
GAF,Date,20100128,64
GAF,Date,20100730,64
GAF,Date,20110816,64
GAF,Date,20111028,64
GAF,Date,20120210,64
GAF,Date,20130723,64
GAF,Date,20140322,64
GAF,Date,20141010,64
GAF,Date,20150113,64
GAF,Date,20151203,64
GAF,Date,20160323,64
GAF,Date,20060403,63
GAF,Date,20080820,63
GAF,Date,20090507,63
GAF,Date,20090727,63
GAF,Date,20091002,63
GAF,Date,20091105,63
GAF,Date,20100113,63
GAF,Date,20100507,63
GAF,Date,20100920,63
GAF,Date,20110112,63
GAF,Date,20111212,63
GAF,Date,20120206,63
GAF,Date,20120607,63
GAF,Date,20120723,63
GAF,Date,20121121,63
GAF,Date,20131002,63
GAF,Date,20131224,63
GAF,Date,20140623,63
GAF,Date,20141211,63
GAF,Date,20151014,63
GAF,Date,20010831,62
GAF,Date,20060207,62
GAF,Date,20081218,62
GAF,Date,20090116,62
GAF,Date,20090714,62
GAF,Date,20090825,62
GAF,Date,20091029,62
GAF,Date,20091112,62
GAF,Date,20100120,62
GAF,Date,20100218,62
GAF,Date,20100311,62
GAF,Date,20120531,62
GAF,Date,20140325,62
GAF,Date,20141017,62
